image,detected_classes,max_confidence,max_damage_area_percent,road_health_score,condition
112_jpg.rf.b9b3b5d8ae23722c88433e7510679b0b.jpg,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2",1.0,21.0,70.6,MODERATE
114_jpg.rf.b916ad4d9879b3fc0074d4472bde708c.jpg,2,0.674,20.88,80.29,GOOD
118_jpg.rf.bf43c5d64a7c22c92de01556aa3afd67.jpg,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2",0.995,22.57,68.57,MODERATE
119_jpg.rf.7289fd930bc02dd8550500cdcea24dbe.jpg,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2",0.988,23.08,68.08,MODERATE
11_GH010407-020_jpg.rf.bfbb42c8841d30ac469b0853d6556296.jpg,"2,2",0.663,22.04,79.53,MODERATE
11_jpg.rf.c709969a53cba8d9c1a73ea95bdf8a8e.jpg,2,0.633,21.67,80.79,GOOD
13_jpg.rf.1b46839fa6c6a801e26ccaeb33898d78.jpg,None,0.0,0.0,100.0,GOOD
142_jpg.rf.95af7a88f2c970380766a224a1a2be44.jpg,None,0.0,0.0,100.0,GOOD
150_jpg.rf.3a61dd322e7ca90fecfaf25773140552.jpg,2,0.647,18.23,83.48,GOOD
197_jpg.rf.c46ddc95c8af9b286ec41737238f9631.jpg,"1,1",0.615,1.81,98.44,GOOD
19_GH010417-0732_jpg.rf.4bb6a4a2192537207bc4473c5522d55b.jpg,None,0.0,0.0,100.0,GOOD
19_GH010417-0748_jpg.rf.e05e7f1b2f1af6b1a6851affba3dd6ed.jpg,None,0.0,0.0,100.0,GOOD
201_jpg.rf.af958129a924228469a09959b43f9699.jpg,"2,2,2,2,2,2",0.83,21.0,75.61,MODERATE
202100683322_f9197910-1115-4bfd-986e-2a33e99d70ac_jpg.rf.a0f0461a0903d89e56f3c66d2674cbf6.jpg,"2,2,2,2,2,2",0.986,18.19,74.88,MODERATE
202100712437_2287b463-f688-4223-bacc-cf89b38994b9_jpg.rf.9a5a30ab0a2ea7a950f2bcb6fc0a52f1.jpg,2,0.694,17.61,82.89,GOOD
202101442040_5f18740b-3e0c-4474-8de9-d8f94d7fbf53_jpg.rf.ffb72bf46fc0d8f8ffe5d58fd72ce145.jpg,None,0.0,0.0,100.0,GOOD
202101819485_0815b137-3e73-4656-a563-32e0d96cbe7b_jpg.rf.668b1ca4a3758836f11c89872343cc50.jpg,"2,2",0.711,20.57,79.52,MODERATE
202101877205_773a6478-5e7c-4d98-906e-b4f05fcd39b0_jpg.rf.42d4d1f0794e5e69c59dfe8aa7f01e85.jpg,"2,2",0.711,17.37,82.71,GOOD
202101877440_29c3dfd5-c6b4-40b3-8961-193eeb1074f1_jpg.rf.2208987ed7e409ee6de3050aeebb3c77.jpg,None,0.0,0.0,100.0,GOOD
202101877506_d0672ae3-03ce-4fc0-a5d8-23c550948873_jpg.rf.575fddefa334df5a8aad247d8bd43841.jpg,2,0.677,13.51,87.2,GOOD
202101878156_ce2c590a-6836-4071-a072-fdd40a8679e1_jpg.rf.af15e23f17f5d43297d847060bca3116.jpg,None,0.0,0.0,100.0,GOOD
202101904861_c84bf9e6-1b2c-43a8-a680-09fd0e358f9b_jpg.rf.222cf3dbf7aa3d82c43fbb69849fb817.jpg,None,0.0,0.0,100.0,GOOD
202101956674_0d1216c3-98d5-4e69-9d2c-d96fe773e843_jpg.rf.358b61d1789d36669ce869ca95ef3df9.jpg,None,0.0,0.0,100.0,GOOD
202101956691_63f6769d-73f9-4aee-9e8b-c3fd4bc31611_jpg.rf.70b30ac644a1ab3a128535a1988094fd.jpg,None,0.0,0.0,100.0,GOOD
202102065962_cb41c947-c2e4-4aa7-a922-8181d9a2198c_jpg.rf.87aabf5de3d8b8b5ef5822162865e11d.jpg,None,0.0,0.0,100.0,GOOD
202200124037_81f7370b-e22d-43b4-a0a1-3c91ceac1026_jpg.rf.27844498d55f72ae676a4b25d11648f0.jpg,2,0.94,7.67,89.9,GOOD
202200135007_358cf572-1921-4bd0-8bb2-479a9829697e_jpg.rf.019a8dc0cbe3a78fa7ce5bcd9c593f22.jpg,None,0.0,0.0,100.0,GOOD
202200145299_d8706e94-180d-4caa-a99f-65990fee621f_jpg.rf.c3fcabc1435288b5a37a04d45bf40f3e.jpg,"2,2,2,2,2,2",0.986,9.82,86.45,GOOD
202200339562_9aced007-37b9-4ca4-891d-7dc7368338e6_jpg.rf.0d03181e7afd318b22f8154d2bd6f84b.jpg,"2,2,2,2,2,2",1.0,33.57,53.02,POOR
202200398919_9797c4c6-2df7-4695-bec3-263f9de8b6b5_jpg.rf.d8da36f533752b15ca5a74788f080aa2.jpg,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2",0.999,37.22,47.95,POOR
25_jpg.rf.9f7d83339362c25c4c426bc1fb89fc6e.jpg,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2",0.997,23.3,67.48,MODERATE
29_jpg.rf.05d244c3811743690d63a3c122d7ac62.jpg,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2",1.0,19.16,73.17,MODERATE
2_GH010395-0639_jpg.rf.c9a0c049ce32f42e44fbc998633488fe.jpg,None,0.0,0.0,100.0,GOOD
2_GH010395-0667_jpg.rf.d5ea1f6a67d1cdee233885fb4f336e78.jpg,None,0.0,0.0,100.0,GOOD
2_GH010395-0669_jpg.rf.4bd393c0c24c79076bb4a60a84155c50.jpg,None,0.0,0.0,100.0,GOOD
4-121-_jpg.rf.649d1ef7250c0dc6b454414a6f36259f.jpg,None,0.0,0.0,100.0,GOOD
4-122-_jpg.rf.7044bf213ccb9431cd4ea0eacd867a3b.jpg,"2,2",0.913,20.58,73.68,MODERATE
4-129-_jpg.rf.1238df59d77e85474c5bb1a35ccdb8a8.jpg,"2,2,2,2,2,2,2,2",0.922,23.16,70.11,MODERATE
4-146-_jpg.rf.079c2ec9fc09b7ef9f559d56aabba881.jpg,"2,2,2,2,2,2,2,2",0.943,22.58,70.2,MODERATE
4-180-_jpg.rf.e821e0de961322ab8615d26a9102ecb4.jpg,None,0.0,0.0,100.0,GOOD
46_jpg.rf.f69fbe3486d729b2c475607f9eebb42c.jpg,None,0.0,0.0,100.0,GOOD
47_jpg.rf.f1db71915757c21d10fec20b6fc58ba6.jpg,"2,2,2,2,2,2,2,2",0.858,15.54,81.34,GOOD
58_jpg.rf.c4c0ece52033ae4dcf4e2db13e2c1e66.jpg,None,0.0,0.0,100.0,GOOD
64_jpg.rf.5eeeb4a6450f69dd03a05bc629162a3f.jpg,None,0.0,0.0,100.0,GOOD
72_jpg.rf.13f1e73da9f8215e2a9c553e284c5685.jpg,"2,2,2,2,2,2,2,2,2,2,2,2,2,2",0.999,20.29,71.63,MODERATE
74_jpg.rf.be35cb1de8c397a1a56602c66284c2e4.jpg,"2,2,2,2,2,2",0.977,22.53,69.19,MODERATE
7_jpg.rf.50f0b085bea4d65e1c1daca1bed6ec3c.jpg,"2,2,2,2,2,2,2,2,2,2,2,2,2,2",1.0,21.8,69.48,MODERATE
86_jpg.rf.54d5d773f968ef67e627c81d533c3e7a.jpg,2,0.711,16.01,84.07,GOOD
8_GH010404-042_jpg.rf.b68da5c1512d1facf8cb4ed4ac2821aa.jpg,None,0.0,0.0,100.0,GOOD
8_GH010404-050_jpg.rf.a299ae18d9cd12730877de353c6d67d8.jpg,None,0.0,0.0,100.0,GOOD
AdobeStock_532473701_Preview_jpeg_jpg.rf.3af41b332976d5014d6027757ef83966.jpg,"2,2,2,2,2,2,2,2,2,2,2,2,2",0.998,20.47,71.39,MODERATE
China_Drone_000014.jpg,"1,1,1",0.933,3.64,95.24,GOOD
