u,v,key,image,health_score,condition
571470125,2282190367,0,112_jpg.rf.b9b3b5d8ae23722c88433e7510679b0b.jpg,70.6,MODERATE
571470125,11807002885,0,114_jpg.rf.b916ad4d9879b3fc0074d4472bde708c.jpg,80.29,GOOD
660699662,2575431674,0,118_jpg.rf.bf43c5d64a7c22c92de01556aa3afd67.jpg,68.57,MODERATE
660699662,660699683,0,119_jpg.rf.7289fd930bc02dd8550500cdcea24dbe.jpg,68.08,MODERATE
660699683,11238201272,0,11_GH010407-020_jpg.rf.bfbb42c8841d30ac469b0853d6556296.jpg,79.53,MODERATE
660699683,7941552880,0,11_jpg.rf.c709969a53cba8d9c1a73ea95bdf8a8e.jpg,80.79,GOOD
660699705,6354265171,0,13_jpg.rf.1b46839fa6c6a801e26ccaeb33898d78.jpg,100.0,GOOD
660699705,7940981057,0,142_jpg.rf.95af7a88f2c970380766a224a1a2be44.jpg,100.0,GOOD
660699734,4653450989,0,150_jpg.rf.3a61dd322e7ca90fecfaf25773140552.jpg,83.48,GOOD
660699734,4653391593,0,197_jpg.rf.c46ddc95c8af9b286ec41737238f9631.jpg,98.44,GOOD
660700031,3430413649,0,19_GH010417-0732_jpg.rf.4bb6a4a2192537207bc4473c5522d55b.jpg,100.0,GOOD
660700031,3773265080,0,19_GH010417-0748_jpg.rf.e05e7f1b2f1af6b1a6851affba3dd6ed.jpg,100.0,GOOD
660700040,3773265252,0,201_jpg.rf.af958129a924228469a09959b43f9699.jpg,75.61,MODERATE
660700040,7915594689,0,202100683322_f9197910-1115-4bfd-986e-2a33e99d70ac_jpg.rf.a0f0461a0903d89e56f3c66d2674cbf6.jpg,74.88,MODERATE
708920890,14080115801,0,202100712437_2287b463-f688-4223-bacc-cf89b38994b9_jpg.rf.9a5a30ab0a2ea7a950f2bcb6fc0a52f1.jpg,82.89,GOOD
1880441459,3777720945,0,202101442040_5f18740b-3e0c-4474-8de9-d8f94d7fbf53_jpg.rf.ffb72bf46fc0d8f8ffe5d58fd72ce145.jpg,100.0,GOOD
1880441463,7919206778,0,202101819485_0815b137-3e73-4656-a563-32e0d96cbe7b_jpg.rf.668b1ca4a3758836f11c89872343cc50.jpg,79.52,MODERATE
1880441463,12210261198,0,202101877205_773a6478-5e7c-4d98-906e-b4f05fcd39b0_jpg.rf.42d4d1f0794e5e69c59dfe8aa7f01e85.jpg,82.71,GOOD
1880441488,4654979291,0,202101877440_29c3dfd5-c6b4-40b3-8961-193eeb1074f1_jpg.rf.2208987ed7e409ee6de3050aeebb3c77.jpg,100.0,GOOD
1880441488,4215822826,0,202101877506_d0672ae3-03ce-4fc0-a5d8-23c550948873_jpg.rf.575fddefa334df5a8aad247d8bd43841.jpg,87.2,GOOD
1880441490,3430413416,0,202101878156_ce2c590a-6836-4071-a072-fdd40a8679e1_jpg.rf.af15e23f17f5d43297d847060bca3116.jpg,100.0,GOOD
1880441490,3430413417,0,202101904861_c84bf9e6-1b2c-43a8-a680-09fd0e358f9b_jpg.rf.222cf3dbf7aa3d82c43fbb69849fb817.jpg,100.0,GOOD
