u,v,key,health_score
571470125,2282190367,0,90
571470125,11807002885,0,57
660699662,2575431674,0,51
660699662,660699683,0,97
660699683,11238201272,0,67
660699683,7941552880,0,65
660699705,6354265171,0,64
660699705,7940981057,0,58
660699734,4653450989,0,97
660699734,4653391593,0,56
660700031,3430413649,0,93
660700031,3773265080,0,97
660700040,3773265252,0,84
660700040,7915594689,0,55
708920890,14080115801,0,87
1880441459,3777720945,0,77
1880441463,7919206778,0,52
1880441463,12210261198,0,51
1880441488,4654979291,0,55
1880441488,4215822826,0,63
1880441490,3430413416,0,64
1880441490,3430413417,0,82
1880441495,2839149001,0,88
1880441495,11096646069,0,51
1880441497,2839149040,0,85
1880441505,4393288485,0,62
1880441505,7938334087,0,95
1880441505,6354264769,0,91
1880441509,7871220139,0,94
1880441509,7871220154,0,84
1880441510,2282190275,0,76
1880441510,2837579697,0,64
1880441514,6354264758,0,78
1880441514,6354264768,0,87
1880441528,7871074775,0,67
1880441528,2833253656,0,50
1880441532,4393295467,0,98
1880441532,2600872771,0,60
1880441533,7937864674,0,94
1880441533,2839149294,0,77
1880441533,2833253661,0,71
1880441533,2841517710,0,67
1880441538,2833253661,0,59
1880441538,2839149313,0,63
1880441538,2833253663,0,98
1880441538,2839149287,0,71
1880441541,4643886297,0,56
1880441560,2833253681,0,55
1880441560,7938167093,0,74
1880441568,6357870910,0,56
1880441568,6357868966,0,72
1880441575,7937507146,0,72
1880441575,7937507147,0,88
1880441580,2839149330,0,66
1880441580,7871296963,0,52
1880441580,2839149375,0,96
1880441581,12200612792,0,79
1880441581,2833253687,0,84
1880441581,2839149346,0,57
1880441585,6357868975,0,74
1880441585,6357868964,0,55
1880441586,2833253685,0,85
1880441586,7871074741,0,68
1880441586,2833253712,0,90
1880441591,1880441617,0,89
1880441591,6357870909,0,73
1880441591,1880441600,0,86
1880441591,7938167120,0,62
1880441596,2841299202,0,95
1880441596,7938167116,0,54
1880441596,2833253704,0,52
1880441596,2833253687,0,92
1880441600,1880441725,0,64
1880441600,2833253708,0,99
1880441600,6357868967,0,68
1880441600,1880441591,0,55
1880441612,2833253709,0,64
1880441612,7871074732,0,56
1880441612,2833253752,0,74
1880441614,11593975923,0,67
1880441614,6354265184,0,79
1880441617,2841517741,0,90
1880441617,2833253749,0,73
1880441617,1880441591,0,60
1880441617,2841299204,0,73
1880441712,1880441720,0,72
1880441712,4393296791,0,63
1880441712,12198741092,0,92
1880441712,4393295487,0,67
1880441714,3777944395,0,94
1880441714,12198712651,0,93
1880441720,2837580344,0,91
1880441720,1880441712,0,54
1880441720,4393296798,0,88
1880441720,6354265104,0,90
1880441725,2833253737,0,60
1880441725,2833253769,0,84
1880441725,1880441600,0,96
1880441725,7911517129,0,65
1880441740,4393296791,0,60
1880441740,2837580332,0,79
1880441742,14080115802,0,74
1880441747,6566802921,0,67
1880441747,4641626015,0,90
1880441751,2833253727,0,94
1880441751,2833253712,0,85
1880441751,7923076412,0,64
1880441753,2837580343,0,93
1880441753,7888562557,0,70
1880441755,6566802916,0,99
1880441755,7941000188,0,99
1880441757,1880441740,0,53
1880441757,2837284092,0,64
1880441757,2837580353,0,52
1880441761,4641625997,0,70
1880441762,4393296803,0,75
1880441762,2839149563,0,67
1880441766,2833253768,0,54
1880441766,2837580370,0,63
1880441766,2837580386,0,86
1880441766,3430413457,0,95
1880441770,2841517764,0,70
1880441770,2841517773,0,63
1880441770,2841517768,0,91
1880441785,4641625866,0,81
1880441785,1880441761,0,75
1880441785,1880441837,0,91
1880441790,7915347282,0,79
1880441790,2841517773,0,59
1880441790,7915347284,0,66
1880441791,1880441761,0,58
1880441795,6566802900,0,65
1880441795,7941000192,0,97
1880441799,1880441795,0,85
1880441801,2841517781,0,84
1880441801,2841517780,0,66
1880441801,7915347273,0,97
1880441804,2841517799,0,87
1880441804,2841517771,0,77
1880441804,2841517786,0,87
1880441804,2841517795,0,75
1880441808,1880441791,0,73
1880441808,2290328268,0,64
1880441809,2833253805,0,58
1880441809,2837284100,0,82
1880441809,2833253787,0,81
1880441811,7953240494,0,55
1880441811,1880441883,0,98
1880441825,2841517784,0,53
1880441825,7923076412,0,57
1880441829,2837284100,0,59
1880441829,1880441846,0,90
1880441831,2833253843,0,60
1880441831,3486229679,0,100
1880441831,2841299254,0,93
1880441831,2839149611,0,77
1880441837,2575448046,0,88
1880441837,1880441808,0,54
1880441844,4641625989,0,74
1880441844,7954195866,0,74
1880441846,3773002117,0,88
1880441846,8374388073,0,79
1880441846,2833253831,0,83
1880441848,2841299264,0,66
1880441848,2833253830,0,85
1880441848,2839149642,0,50
1880441848,2833253817,0,93
1880441855,2837580527,0,96
1880441855,2837580581,0,57
1880441878,4776723236,0,93
1880441878,2837580591,0,84
1880441883,7953240491,0,98
1880441883,1880441923,0,67
1880441889,3502725158,0,99
1880441889,2841518232,0,91
1880441889,2837580563,0,71
1880441895,2837580634,0,57
1880441895,4776756136,0,68
1880441902,2290328286,0,77
1880441902,3777925254,0,60
1880441906,2833127091,0,79
1880441906,6649212630,0,50
1880441912,2839149675,0,96
1880441912,2841299311,0,96
1880441912,3772964231,0,66
1880441923,7953233884,0,82
1880441923,7953296685,0,98
1880441923,1880442365,0,61
1880442363,7923076392,0,82
1880442363,4776723238,0,56
1880442364,2837284919,0,90
1880442364,7953233870,0,69
1880442364,4160437045,0,90
1880442365,7953233871,0,82
1880442379,2837284929,0,88
1880442379,2575603086,0,62
1880442383,7912773558,0,59
1880442383,7953233871,0,73
1880442388,2837581116,0,98
1880442388,8390184185,0,60
1880442399,7958490214,0,84
1880442399,7953296685,0,99
1880442399,7954195866,0,83
1880442402,7953296685,0,50
1880442402,1880442383,0,88
1880442402,1880442431,0,70
1880442403,2841299336,0,81
1880442403,2841518293,0,51
1880442403,2841518423,0,57
1880442415,4776756145,0,73
1880442415,2837581199,0,69
1880442415,2837581168,0,65
1880442431,2833127367,0,53
1880442431,1880442402,0,65
1880442431,7958490216,0,86
1880442433,8390184185,0,55
1880442433,12696356843,0,55
1880442436,2841518443,0,96
1880442436,2845678412,0,81
1880442436,3502823737,0,54
1880442436,2841518435,0,98
1880442445,3502470543,0,84
1880442445,2841518429,0,99
1880442445,2841518444,0,58
1880442449,2837581812,0,58
1880442449,2837581305,0,92
1880442460,2841518440,0,80
1880442460,1880442479,0,85
1880442465,2837581326,0,60
1880442465,6649204679,0,66
1880442465,6444391444,0,83
1880442471,2841299355,0,88
1880442471,2841518457,0,77
1880442471,2841518461,0,63
1880442473,3430413608,0,84
1880442473,2833127387,0,98
1880442477,6649204679,0,96
1880442477,1880442486,0,94
1880442479,2837581659,0,62
1880442479,2841299357,0,95
1880442479,2837582037,0,69
1880442479,7888562530,0,75
1880442486,6649204677,0,92
1880442486,2833127442,0,91
1880442487,2839615473,0,73
